,name,gmap_id,category,avg_rating,num_of_reviews
866,NEW OMM MARKET,0x809adfa5cdbafb1f:0xdc3e4bf05ac686dd,restaurant,4.5,8
899,Spice Kitchen,0x809ad0e2691935d5:0xd7f9936fc35db17,restaurant,3.8,5
911,Crumbl Cookies - Folsom,0x809ae569a8b7ef17:0x80024549b018ec0f,restaurant,4.8,375
976,Subway Restaurants,0x809ae6895d6718df:0xba06223ca494073e,restaurant,3.9,48
999,Office,0x809ada4d184833db:0x4f0e72bfe1ed7c8e,restaurant,4.5,48
1026,HomeTown Buffet,0x809adbc3688bb7eb:0xabab9ed68e649a16,restaurant,3.4,8
1031,Nile Ethio Kitchen,0x809adbecde3b3ad7:0x538dfbc753587070,restaurant,5.0,4
1034,Asmara Cafe,0x809ada4b0d2aabe1:0x63d79d18c25a16ec,restaurant,5.0,5
1052,Guads Tacos & Beer,0x8085294f18b14383:0xdf7b87faad59bb57,restaurant,5.0,24
1053,Parkside Bar & Lounge,0x808529b30b638677:0x47f6b284b379134f,restaurant,4.7,14
1068,Post Oak Barbecue,0x809ad92c992e19b5:0xb18cb8cb566b2447,restaurant,5.0,24
1077,Subway,0x809ac5f94f3a3465:0xa3f1d8f8f0256b1b,restaurant,3.0,2
1099,Eclipse Grill & Bar,0x809ad747d353b687:0x259f7e3dfad36373,restaurant,2.8,4
1101,Los Burritos Express,0x809ae952a90aa777:0xbc7c472410d72e98,restaurant,5.0,8
1103,DK's Place Pizza & Fun,0x8084d12975736099:0x15caa68845d91cb1,restaurant,3.9,28
1110,Plaza Cafe Hookah Lounge,0x809ad1299ee8df05:0x4ccfffe62e73069d,restaurant,3.0,4
1130,La Pasadita,0x8084d08d17334517:0x77b5f52f35235ada,restaurant,4.0,58
1174,Main Street Cellars,0x8084df8b62f36d97:0xbd2ea94f3d4d181a,restaurant,5.0,17
1184,Falafel and gyro to go (Food Truck),0x809adbfe43549301:0x79b0fb032b399bfe,restaurant,5.0,8
1210,Friends With Benedicts Mimosa House,0x809ae53481fd9c79:0x55930af6fb128eae,restaurant,3.9,18
1220,Hometown Chinese Restaurant,0x8085297313856af7:0x324b1749a1819984,restaurant,4.1,28
1222,Sunrise Restaurant,0x808529747f6574bb:0x1ff6681b4f753b07,restaurant,3.7,16
1236,Mixed Rice & Noodle Bar,0x809ac77fbd3a51b3:0x801da4f2ac44f865,restaurant,4.3,28
1241,Baghdad Nights Restaurant,0x809adbdba496f125:0xe809478f22920aed,restaurant,4.5,36
1244,United Bakery,0x809ad444de39d593:0x4c2e70c1204f2118,restaurant,4.9,8
1277,TOGO'S Sandwiches,0x809ad0d931d2e29d:0x20b836850f9a7a68,restaurant,3.9,26
1289,Toasted,0x809ad11e9665dfb1:0x2bf65c9764607b47,restaurant,4.2,8
1292,Tacos Los Tres Hermanos,0x809ad921c3228d89:0x36c2b96aab3e240f,restaurant,4.7,7
1296,Clementine Coffee Bar,0x809ae6acf4d1966f:0x811d079e28d63337,restaurant,4.7,68
1337,Coffee Club,0x8084d117b6f3d665:0x2a15c5ee67458dd9,restaurant,4.9,35
1383,Manchuria Hakka Cuisine,0x809ad5b948dab63d:0x32b00796ef2982b4,restaurant,3.7,3
1392,house of chang,0x80852964118b368f:0x7c8ee749337a98d,restaurant,3.7,8
1396,Java City: Modoc,0x809adaebbdb82c75:0x4f65033647e8275e,restaurant,4.6,8
1397,La Sonsonateca Restaurant,0x809adf09ef50c887:0x5c2e1ae229afaa19,restaurant,4.5,36
1416,Tropics The Clubhouse,0x809ad10a1d76a0d3:0xf1fe7bc715979f8e,restaurant,4.3,6
1417,Bear Dive,0x809ad1d495895f35:0x17195d5c0b73dd61,restaurant,4.7,28
1418,Tacontento,0x809ad18f25c698d1:0x2c96eece02502818,restaurant,5.0,1
1419,Tacontento,0x809ad12e6426ffa5:0x40ccce010a8b838a,restaurant,5.0,1
1438,Side Burn BBQ and Brew -Folsom,0x809ae50d52beec09:0x6188e2d1fe52e885,restaurant,4.3,8
1456,Foodtruck,0x8084d11d87e6ca5b:0x860f01255a64c053,restaurant,4.7,38
1467,Captain Crab,0x809adba33500ac33:0xadb21c0518b466ac,restaurant,4.6,18
1497,Ludy's Main Street BBQ,0x8084d0e43ff93ff1:0x54c343c5b8fc7b9c,restaurant,3.8,58
1500,Emma’s Tamales,0x809ad738824f1173:0x3d228890bac297ee,restaurant,3.7,6
1504,A&W Restaurant,0x809adf8b44cecbbf:0x9d2bc320ea8f24ee,restaurant,2.0,6
1511,Sourdough & Co,0x809b29b70a6aedbf:0x3e6c7e46d6263e5,restaurant,4.3,18
1514,19th Hole Cantina Restaurant,0x809ac35de365b827:0x60b1bd310b9845f1,restaurant,3.7,37
1538,Cafe Soleil,0x809ad07a9c94dcb5:0x37fbac6063019fbc,restaurant,5.0,6
1541,El Rincon Mexican Restaurant,0x809ad1a442488ca9:0x9982010a04c4afe1,restaurant,4.9,18
1552,Louie's Restaurant & Catering,0x809ad07103462b33:0xade62f87ceccbdaf,restaurant,4.3,8
1553,Pizza Hut Express,0x809add149d81562f:0x5c11d594e55da0e4,restaurant,3.5,38
1561,Thai Asian Bistro,0x809ac5eb4f869041:0x2dc8a06e138f9120,restaurant,4.3,18
1576,Sac City Pizza,0x809ac5a9890455ef:0x7090980fc1ba1ba7,restaurant,1.7,6
1586,Yellowbill Café,0x809ad0d8930be3e1:0x9a8bc12d1f4825b2,restaurant,4.6,8
1619,Cracchiolo's Banquet Hall,0x8084d11f1a2843fd:0x9a4ae762154ddf75,restaurant,4.6,8
1685,Peet's Coffee And Tea Shop,0x8084d14adf6d085d:0xf065498989d2fb4e,restaurant,3.9,8
1689,Chutney Indian and Pakistani Kitchen,0x809ad6fb603843b7:0xf3d555870e7869e7,restaurant,4.4,33
1710,Cocos Tacos,0x809ad98990acf69d:0x4da31c318711919a,restaurant,4.3,14
1726,New Bite Catering Food Truck,0x809ad728ed18938b:0x3dc0f72893f82aea,restaurant,2.3,6
1791,Capital Dime,0x809ad0dba17f8f9d:0xdf9e3e1ef00e6cab,restaurant,4.1,8
1805,El Nopal Mexican Grill,0x809ad17a55349801:0x64464c52abce889a,restaurant,4.1,13
1828,Alley Katz,0x809ade2f5f06936b:0x3ec4e5eef316620d,restaurant,3.4,36
1836,Sushi Q South land park,0x809acf1d56a35927:0x6e13965cb7035465,restaurant,4.2,27
1841,Zest Fresh Pastry West,0x8084d11ecde41181:0x3ce364f8b5ed7a65,restaurant,4.3,18
1847,Chido Restaurant & Bar,0x809ad74d2caab417:0xdfb86f3e6d43d125,restaurant,4.9,8
1864,McDonald's,0x809add1187fa1f6d:0xd9fdf192680d65c0,restaurant,3.1,38
1874,That Dam Place,0x809ae54a350445c5:0xcbb4ed28f17dcf1,restaurant,4.9,78
1906,Philly Cheese Steak,0x809ad408af08d3d9:0x5645adfea6fcf589,restaurant,4.2,6
1942,Island of the Moon Apiaries,0x8084d1009f337e83:0x45b2653f6d80af22,restaurant,4.7,3
1978,Purple Pig Eats Oak Park,0x809ad1916608d989:0xa266ddd148d43009,restaurant,4.8,6
2004,Subway,0x809ac79b61bc5d75:0xfee651dea6bd850a,restaurant,4.2,8
2014,Esther's Cupcakes,0x809adaffedb592e3:0x2000ace1f4a55ac5,restaurant,3.6,5
2022,Eli's Corner Store,0x809ad00bcd761e89:0xf8af4c8e7d57e3d4,restaurant,4.2,55
2023,Asia Garden,0x809ad09098c73cbd:0xcbd183deed2d0169,restaurant,3.3,7
2041,Davis wine bar,0x808529450bcd3e85:0x37eec44f7f567800,restaurant,4.5,8
2078,Cali Bowl Teriyaki,0x809adda1580f6c0d:0xb596391e27a5ae,restaurant,4.0,13
2114,La Fuente Mexican Food & Bar,0x809ac76cec7ba401:0x9efe528ecde13810,restaurant,4.6,8
2119,South Beach Grill,0x809add5e48cc0fb7:0xea5698c3f3fbfdbf,restaurant,3.7,8
2134,Udupi Cafe,0x809add8661346f05:0xe0d33137ad4b4562,restaurant,3.0,1
2135,Tahoe Joes Famous Steakhouse,0x809ae69a20d3e5a5:0xfc1bf8ca947164d4,restaurant,4.0,5
2136,Salsa Fresca Mexican Restaurant,0x809add60f56bda13:0x49f7d6e73b23a474,restaurant,3.8,18
2138,Central Station Grill,0x809add592b5f1107:0x5a69f2359f940bc8,restaurant,3.6,8
2165,La Superior Mercados,0x8084d0f3049e73b3:0x89621e8b1d3518e6,restaurant,3.6,96
2184,Subway,0x809ad7263e46ef75:0xa827d66e386fcf,restaurant,4.1,28
2213,Don's Diner,0x8084d0922ba2b615:0xaf2f0c82c10a7f97,restaurant,4.1,38
2239,Mulligan's Cafe @ William Land Park Golf Course,0x809ad1ae2079cd8d:0x322453b0dedd1710,restaurant,3.8,18
2249,Burritos El Potosino,0x809ae77c2807608d:0x5ad842738d5fa76d,restaurant,4.8,48
2256,Negril,0x809ad0c17435000f:0x532a48e62286fc67,restaurant,5.0,1
2279,La Roca Restaurant,0x8084d0df63f433f1:0xf92475947d5a532e,restaurant,4.2,44
2289,Wu Village,0x809ac53069c85b9b:0xcaa26e63f92d4515,restaurant,3.5,15
2294,BAD Bakers Elk Grove,0x809ac716cea3533f:0xc63503561e74d1ae,restaurant,2.8,8
2295,Just For Fun Art,0x809ad6338e35f9d9:0x7564337fc9438d49,restaurant,4.8,28
2317,Frenchy’s | Waffles & Sandwiches,0x809b29e386b6d677:0x20442e903b93a9f8,restaurant,3.5,2
2327,Cattle Rustlers Steakhouse,0x809adfd19cf4172f:0xc8674acedabbe442,restaurant,4.0,54
2329,Brick House Restaurant & Catering,0x809ac7713203f1d7:0xc8577140cc9c1bcd,restaurant,4.0,18
2334,Shaz Banquet Hall,0x809ad911aacc03e7:0xf65bffb8c7e79909,restaurant,4.0,28
2353,Acheson Wine Company,0x809ad1f8a5aab329:0x55f0367996efcec7,restaurant,4.9,8
2354,Tomato Alley Free House,0x809ad1618b5f2e5b:0x632e88a7bf2837c7,restaurant,4.8,34
2371,Jamba,0x809ad112c3637c9f:0x241388c0ef03ce6e,restaurant,4.7,28
2395,Kampala Café,0x809ad1a60b859fd9:0x3c0987d4b6a3a524,restaurant,3.2,8
2417,Mountain Mike's Pizza,0x809ac56a41ebe775:0x69ceb5384ed3d20e,restaurant,4.4,55
2419,Ramendou,0x809ad1f6d05a9a85:0x137f8946d63933f5,restaurant,4.5,16
2439,Mattone Ristorante,0x809adb3e420bb2c1:0x63fa4dbe2946df0d,restaurant,4.3,38
2449,Angel Platters A Village Cafe,0x809add60645e9475:0xf63327325b8a4827,restaurant,4.8,5
2453,Subway,0x809acf41976855c3:0xead21d856f32a325,restaurant,2.9,8
2467,Mr. Carnitas Mexican Restaurant,0x809ad6fb606d465d:0xea8aa3bff9ad0c62,restaurant,3.7,18
2469,Wine & Coffee,0x809ad1eee5e51c19:0x35f955b38a7cc75c,restaurant,4.7,3
2489,Da Fei Ge,0x809ad1d86b920109:0x246da8e75549a885,restaurant,4.0,18
2513,Dunkin',0x809ac675ddd8ab53:0x4942de26b8b01657,restaurant,3.3,55
2550,Ramen 101 - Elk Grove,0x809ac7d12005de1b:0xba4f6ed10fa63584,restaurant,4.2,38
2560,Royal Kabob & Gyro,0x809ac77717f6001f:0xd30ec8495471b0f,restaurant,4.9,8
2562,Vons Chicken,0x809adb2217ede4ed:0x1ea43c847c838da5,restaurant,4.7,8
2571,Starbucks,0x809ad92286444629:0xf7230ca5d878c0ff,restaurant,3.4,25
2579,Morgan's Mill Sacramento,0x809ad1c6568a2507:0x74dd11596fdae546,restaurant,4.9,16
2582,Raspados El Diablito Loco Restaurant,0x809ad7eceff031c5:0xc00f680a33f0eca,restaurant,4.0,58
2599,Let Them Eat Cake,0x80852976fb22d033:0x3511c56bb9016159,restaurant,4.4,86
2602,Subway,0x809adae61754aef3:0xf0172ac7d48a8d4e,restaurant,4.5,18
2607,Thai Fusion,0x809ada477d10131b:0x2bf4edeff5994536,restaurant,4.3,7
2612,Bravo's Soup and Sandwich Shoppe,0x809ac702770f0151:0xb80f84cd7da9bdb8,restaurant,4.6,38
2614,Papa Murphy's | Take 'N' Bake Pizza,0x808529b65a69c099:0x964b1a75f02650bd,restaurant,4.1,33
2630,Bailarin Cellars,0x809ada575b4aec2b:0x3423ef506618ceb9,restaurant,5.0,7
2641,Latitude,0x808529b725d4bdcb:0x93dd370f96eff5a3,restaurant,5.0,5
2652,G Hut Cafe,0x809ac8faa9e6388d:0x7edd2c092db3966b,restaurant,3.6,5
2657,Coco Cane Juice and Ice Cream,0x809ac573ef0bdb6d:0x7f644e18a81275fb,restaurant,4.2,45
2662,Levee Cafe,0x809aad5c909f5267:0xb69ed1fad2095de3,restaurant,3.9,8
2671,Gordito Burrito,0x809ada8a76e385eb:0xa1342a6e7e581c74,restaurant,2.4,13
2698,Quiznos,0x809ad118941683ad:0xa7495ba847789111,restaurant,2.4,5
2699,Kaula Island Grill,0x809ad1189451f5df:0xeb02d8b99189560f,restaurant,4.0,4
2725,Ocean Sushi,0x809ace08f8ea5567:0x37884ab9d8a6e9e0,restaurant,3.4,24
2752,Lo/Fi,0x809ad1fff4b57237:0x75b337310fcac4a2,restaurant,4.9,18
2782,Boston Market,0x809ad92b15156a5d:0xa4f72a9b2d0040e4,restaurant,2.3,3
2816,Baja Fresh Mexican Grill,0x809ada3b8a4a67a3:0x747e49d85a1ba99c,restaurant,3.7,6
2837,Pho T-Noodle Xpress,0x809ac6a41b6504e1:0xdc435fde321f5071,restaurant,5.0,1
2841,Baja Fresh,0x809aa3df84671c61:0x5efd968e173ed621,restaurant,3.4,28
2858,TNT Bakery,0x809ac554c4c205d3:0xc4aa20113cdb7f09,restaurant,4.5,26
2862,Savory Fried Chicken,0x809ac6b946cfdb2d:0x46956193335f95ce,restaurant,3.8,28
2864,El Favorito,0x809b29d900fe46fb:0x6759cbede00f884c,restaurant,5.0,14
2866,O Bento,0x809adbee4f0fba6d:0xf8fa83f052e9b849,restaurant,4.3,3
2872,Subway,0x809ad8d19f5f9179:0xfccf8ace154fed0f,restaurant,3.2,18
2879,Championz Pizza,0x809b29bf294f0e97:0x266364f5db97a50c,restaurant,4.1,34
2889,Asian Cafe,0x809ad76601c6d625:0x38bcbe1cc18c9b96,restaurant,4.1,68
2911,Firehouse Crawfish,0x809acefda294f6ed:0x138110bcda163071,restaurant,4.3,18
2916,Statehouse Restaurant & Catering,0x809ad12869257ad7:0x51ef02d337e569c0,restaurant,4.3,18
2944,Sun Flour Baking Co & Distribution,0x809ad983c5e0cad7:0xe05b47f7a91fd198,restaurant,4.7,3
2956,Phở | Vegan Asian Cuisine,0x809ae5da0b7da33b:0x45980841a0eca0ab,restaurant,4.7,35
2980,Subway Restaurants,0x80852973bdb6a711:0x7badcabf12665c0b,restaurant,3.8,28
2995,Candlerock Lounge & Billiards,0x809adbdc68eb50f7:0xb6b3f6fe179481ad,restaurant,4.3,66
3018,10th Inning Tavern,0x809adfea48723073:0x6a8d7de916367563,restaurant,4.5,56
3021,Side Burn BBQ and Brew -Rancho,0x809addc516214875:0xaeab8009b4da5222,restaurant,3.6,28
3022,Café Bernardo,0x809ad12db38bbde1:0x1bbd503f82d08dba,restaurant,4.2,6
3029,Takata-ya | Japanese Restaurant & Bar,0x809ad1d8595132e3:0x60c0f1ba1feb7672,restaurant,4.5,33
3096,La Flor De Guerrero,0x809ad03ae8b90b89:0xdff8b8b23fba5b15,restaurant,4.5,58
3118,The Palace Hookah Lounge,0x809ad106ce1dafa7:0x8aabbed4623abd63,restaurant,4.6,53
3124,Sunrise Cafe,0x809ae8049757bb8f:0xf958688996213473,restaurant,5.0,36
3135,Papered Iris,0x809ad0df94774591:0x3e00232fe48c8866,restaurant,5.0,7
3181,Cabrillo Civic Club,0x809ad19857e510f1:0x30ac7ff60a1b7002,restaurant,4.4,18
3214,Baguettes,0x809ac708ffffffff:0x1e9105576859231b,restaurant,4.7,35
3243,Platypus Pizza Company,0x809ad19ad1d0b26f:0xd44c28b1e434216a,restaurant,3.8,4
3279,Compadres Grill & Bar,0x809abd029e892ed7:0x4d900f2f4a27ecbf,restaurant,3.9,8
3292,ARZ Lebanese Restaurant,0x809ae6ad280e8f53:0x92b680ff2c807539,restaurant,4.7,6
3327,Jefferson Bar & Grill,0x809ad14e3a8e859b:0x65a5f85144afbe20,restaurant,4.2,38
3339,zpizza,0x809ad1e519b8ee5d:0x881bd4cbb8133fa0,restaurant,4.1,8
3352,Wings City,0x809ac56ff913accb:0x94582a7f1cebc3e1,restaurant,4.7,44
3364,Folsom Bar & Grille,0x809ae6ad280e8f53:0xcd3f4442e7583389,restaurant,3.7,18
3365,Rosalinda's Mexican Restaurant,0x809ace22ef2e68a3:0x496581ad3cdd89c6,restaurant,3.5,28
3369,Falcon's Roost Cafe,0x809ae45638004899:0x3f9516d4b87e077f,restaurant,5.0,6
3370,Vines Bistro,0x809ad12821e8aeb1:0xbce93495c940ea53,restaurant,4.7,37
3458,Voluptuary Winery & Tasting Room,0x809adba869e746db:0x208bf4eb055dde82,restaurant,4.5,14
3469,Krash Karaoke @ The Sticky Wicket,0x809aded0ee8ae185:0xdd5c4ce2a0ce3590,restaurant,4.1,17
3480,Pizza Boyz,0x809adffa987350b3:0x84ff686b5d38fee1,restaurant,5.0,4
3492,Subway,0x809aa2cf34a11f7d:0xf2a53f7e2bd6b582,restaurant,3.3,26
3526,RailBridge Cellars & Company,0x809ad129e5ae4f99:0x7321c8fce04a7a4b,restaurant,4.2,5
3540,Alice's Ice Cream & Café,0x809ae74169e58695:0xca1fa5f39f142752,restaurant,4.4,28
3570,El Fuego Express,0x809ad1564223ff9d:0x85cfa38b7dcbdf0f,restaurant,4.5,33
3596,Drunken Loaf,0x809ad0fc8bcc1d9f:0x2efd7cd5c0b124b5,restaurant,4.8,5
3608,Baguette Up,0x809add5ae51f48d9:0xd963e4983173782f,restaurant,4.4,44
3612,Beijing Garden,0x809acfc6cb71da25:0x75881ba601045b55,restaurant,3.8,18
3613,TeaOne,0x8085297359b02327:0xa0d07174e16d0aaa,restaurant,4.4,48
3631,Taste of India Restaurant,0x809ad569c4d01bbd:0x76e0b3bff3e80d98,restaurant,4.6,16
3636,Yodyiam Thai Cuisine,0x809ae4292bfb9b65:0x81b5989eb8b04800,restaurant,3.6,27
3637,The Coffee Garden,0x809ad05881a722db:0xeb182ee2b36b5df7,restaurant,4.6,38
3665,SUBWAY®Restaurants,0x809ae655542ccbf1:0x9e536d186e7fcf66,restaurant,4.1,18
3687,Banzai | Japanese Kitchen,0x8085285665cb1b13:0xabec166f9d38c171,restaurant,3.6,38
3705,Ro Sham Beaux,0x809ad10117b69c9f:0xbea5c72fe7ff8667,restaurant,5.0,18
3711,YOU MING TANG,0x809adb91cdebcf61:0x8d1a6c21e889629c,restaurant,4.0,1
3742,Pizza Hut Express,0x809ada32593b76ef:0xb3d43186777a76f3,restaurant,3.3,6
3744,Subway,0x809ac4113d8b031b:0xb09ccaeacfd6dc79,restaurant,2.6,18
3752,The Filling station,0x809ae7102af3c6e3:0x6894988ef57033f3,restaurant,4.9,8
3784,Taco Bell,0x809ae72a47ae396d:0xebe288eb87222f5d,restaurant,3.8,6
3807,Shalimar Restaurant,0x809ae5aebca7affb:0x6cce07f8fdd13ee4,restaurant,4.1,58
3820,Painted. - Folsom Palladio,0x809ae50642388af9:0x45d888958034af7,restaurant,4.5,14
3827,Fuddruckers,0x809ade19db2ff337:0xa20bb7dcbbd99575,restaurant,4.2,8
3829,Kabob & Gyro Xpress,0x809ad73d84373fb1:0x4da844d20da0a797,restaurant,4.5,9
3868,quickly,0x809ac93a847c91cf:0x1fd51254e4c1492f,restaurant,4.0,4
3911,Hangar 17,0x809ad0dfd52327cf:0xdcd75410ee876451,restaurant,3.5,2
3935,Pizza Hut,0x8084d0f32c37925f:0xc863dfb50d35888,restaurant,3.7,38
3993,Jannoi’s App-Khao | Papaya & Noodle Shack,0x809ad98f59293627:0xde0a0bda4bc1efd7,restaurant,4.7,38
3998,Yum Cha Café,0x809ac56f6e37ef83:0x2ce9b09c345d3afe,restaurant,4.3,4
4001,Auntie Anne's,0x809ada1e8ef9142f:0x1762bc29224b96f5,restaurant,4.4,25
4004,Sergio's Steak & Seafood,0x809ae4030f8edea9:0xfcddad0d325e804b,restaurant,3.1,15
4007,It's Just Wings,0x809ae7dc414ae1cf:0x154b762224b67b9,restaurant,2.5,2
4014,Nekter Juice Bar,0x809ad15ef66e8201:0xf446022dc0ffd5dc,restaurant,4.4,17
4017,Sunshine BBQ Express,0x809ac78d2a3de38f:0x72d52d7ae9596f8b,restaurant,4.8,16
4025,Purpose Nutrition,0x8084d10d683af109:0x8feb224d20fa1210,restaurant,5.0,6
4034,Easy Diner & Bar,0x809ad173e4c703b7:0x62d2c9049cbdf0d6,restaurant,4.9,7
4058,Trifecta,0x809ad39281519eb3:0x6321d8e3ea26ef7b,restaurant,4.6,364
4087,Thai Mango,0x809ac5320499438f:0x1d4946fbef723546,restaurant,4.5,68
4120,The Everest Momo,0x809add1e7c490b41:0x31457b8496bfd7c,restaurant,4.7,78
4129,Pizza Guys,0x808529765ab3dc4f:0x2f1631799045b6b5,restaurant,4.2,77
4147,Phở M - Authentic Vietnamese Cuisine,0x809ae5d48579de69:0xac237fc5092561e9,restaurant,4.0,53
4164,California Express Pizza,0x809ac796d58cb57b:0xd206c791cdfc25c7,restaurant,4.5,15
4188,Spinners,0x809ad12d75861e87:0x53ce78aae655efd3,restaurant,4.8,4
4215,Dutch Bros Coffee,0x809aa3a64c5491db:0x7db994460ec55db0,restaurant,4.6,74
4221,Zara Afghan Cuisine,0x809ad12b8fe7ec57:0xb2d84a14274d4a94,restaurant,4.2,18
4235,Auntie Anne's,0x809ae7e5d57909cf:0x45b8aa6bf893ce36,restaurant,3.8,18
4244,Mikuni Central Kitchen,0x809ae6fa35f08fe9:0xd0e42a7fbc08effc,restaurant,4.2,15
4325,Stone Bake Oven,0x809ac8faa38d1923:0x5de6b2271b59da17,restaurant,4.8,94
4375,Pizzazz - New York Pizza,0x809ad91545764879:0x5e5af2b2963324c7,restaurant,4.1,18
4399,Fortune Palace,0x809ad031683d0305:0xfb78057b79b724ca,restaurant,3.9,8
4403,Eatuscany Caffe,0x809ad0db9f66fd3d:0x7463f53650529b94,restaurant,4.8,28
4405,Beijing Cafe,0x809add019c748633:0x2a660dad92c3c431,restaurant,4.5,38
4412,Subway,0x8084d1545fd63f95:0x672f60eb08abd3ef,restaurant,3.9,33
4437,Creekside Café,0x809ad6e454f65b57:0x4bbba5ae7654158a,restaurant,4.6,18
4441,Circle K,0x809ac6a1686ef83b:0xb329ed21f561bcf3,restaurant,3.9,8
4452,Merlo Family Vineyards,0x809aceab41366a85:0x74992a6541b4600c,restaurant,4.7,13
