gmap_id,category,avg_rating,num_of_reviews
0x809ae3f3488cdb35:0xc3147ab2a31f1cea,['Prison'],4.3,4
0x809ae50606f444f5:0xc4569619330fcda4,"['Boutique', ""Women's clothing store""]",4.4,18
0x809ae6aa2aebafbb:0xc38f6e8b29090060,['Hair salon'],4.7,8
0x809ae40256316ed9:0xc7d8e555021333b2,['Bank'],5.0,3
0x809ae5778647cf31:0x2439f86b3797ead3,['Park'],5.0,2
0x809ac52e60ab97ad:0x457fe5f368761bb2,['Dental clinic'],3.5,4
0x809acf9537d441ff:0x6fe701e4fdd3999,['Auto glass shop'],4.2,13
0x808528726b39b98d:0xc3d549de5935e131,['Baptist church'],4.7,16
0x8084d0e67096b74b:0xcab6dc4af1a60b75,['Church'],4.5,8
0x8084df6e18699dd7:0x156c5d58dfdf1f0,['Sign shop'],4.5,4
0x809add627a83fdb1:0x46343a9e227139d5,['Hot tub repair service'],4.0,8
0x8084d08d18c4cbc7:0x51ab0249b0326161,"['Post office', 'Logistics service', 'Money order service', 'Shipping and mailing service']",2.4,9
0x80852bf165465689:0x62dc5e8d148d1307,['Ranch'],4.5,6
0x8084d0ee04199049:0xeb4aca1c55b64090,"['Loan agency', 'Auto insurance agency', 'Check cashing service', 'Money order service', 'Money transfer service', 'Tax preparation']",3.2,13
0x8085298de8e24cbb:0x7a6a088082a46706,['Association or organization'],4.3,4
0x808529cac9ef7013:0xc05cdddb4fde7a62,"['Swimming pool supply store', 'Swimming pool repair service']",3.8,18
0x808529726ba1ada7:0x9fd2787ac2016035,"['Liquor store', 'Convenience store', 'Grocery store']",5.0,5
0x809ac4decc7092f1:0x7dad90c9f29919cf,"['Transportation', 'Courier & shipping services', 'Logistics', 'Shipping service']",1.7000000000000002,15
0x809ade3065342aa3:0x6240f02a3a7e9d3d,"['Beauty salon', 'Hair salon']",4.9,33
0x809adfcd68dcc36b:0x603fa9a3c68fe348,['Methodist church'],4.1,7
0x809adfd232243965:0x4395b0fee768efa2,['Optometrist'],4.0,4
0x809ae46ad4e79375:0xa9f3a12d8cda9d6b,['Ophthalmologist'],3.3,13
0x809adcc70d6fa3e3:0x8237fa2183f86b56,['Flooring store'],4.1,8
0x809ae6a0e5ccf91f:0x17da752f99335830,['Association or organization'],5.0,2
0x809ad981aaaaaaab:0xaec53797999f5441,['Association or organization'],5.0,8
0x80852905d81778a1:0xeacfc09c80ee34a8,['University department'],4.5,4
0x80852905e68be3b7:0x62c6ae9ff73adef3,['University department'],4.5,2
0x80852908d0f6cfdd:0xce294662bb65b16,['University'],4.0,6
0x808529103835af4f:0xd954092cde7bd1c,['School'],5.0,1
0x8085290fe1af8f55:0xf4e9a18674415091,['University department'],4.4,5
0x808529119d994337:0xe9f4c4903034d107,['Environmental program'],5.0,4
0x80852990182f7d55:0xe7374fc8442789f1,"['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']",3.0,7
0x8085290ec36bb461:0x5d3b53d507eeff82,['Coffee shop'],4.3,8
0x80852903058f1645:0x23304ec837207bc3,['ATM'],4.0,2
0x8085290f77055555:0x937f3622325eb37f,"['College', 'Martial arts school', 'Yoga studio']",4.5,2
0x8085290c346ab205:0x659f431d15737e7a,['University'],4.5,2
0x809ada88de8ebdf1:0xef46324f47b867b1,['Establishment'],4.0,1
0x809ad77c7fb024dd:0xf393a878573b30db,['Contractor'],3.9,3
0x809ac3ebb104972d:0x836ee4a6ba0c83a4,['Seventh-day Adventist church'],4.6,8
0x809ad090c0b9b401:0x4300d2c94496ed7a,['Massage therapist'],4.3,51
0x809ad0c3d4f00c11:0xa60e95f20298beb,['Optometrist'],1.0,1
0x809ade203b07fd39:0x87a987732a2254dd,['Apartment building'],2.5,37
0x809ac5c1da3acf1d:0x44911fc621801f93,['Doctor'],5.0,1
0x808514259c3310c7:0x7733e13cf92f1db4,['Frozen yogurt shop'],3.2,5
0x809acff7001d566b:0x8968f570205e04f2,"['Auto repair shop', 'Gas station']",4.3,8
0x809ad0fceb7481c7:0xea6d40cd8845b229,['Orthodontist'],4.9,88
0x809ad1c1b92fc9cf:0xc663b8eabd426fd9,['Scrapbooking store'],4.7,18
0x809ac5af74de9be5:0xc8329d6a1e7de29c,['Janitorial service'],2.0,1
0x8084d0db1462f17d:0x6315c3d9283389ad,"['Gym', 'Fitness center', 'Tanning salon', 'Womens personal trainer']",4.8,16
0x8084d0e5f234f735:0x782262f8c6962382,['Bar'],4.3,8
0x8084d103adaaa093:0x62529f4ebcfc336b,"['Physical fitness program', 'Fitness center', 'Gym']",4.9,8
0x8084d12981ede425:0x8e5e271049ee6825,['Watch repair service'],4.8,15
0x8084d0be7ecf65eb:0x5988dfa03576e4aa,['Doctor'],1.0,1
0x8084d08d17334517:0x91b217502a9a8986,['Beauty salon'],4.8,6
0x8084d18a54419be7:0xad313bb4833b41bd,['Hair salon'],4.5,8
0x8084d155d59bbe79:0xea9392e201d6ec6f,['Takeout Restaurant'],3.8,8
0x809ada545779c3cf:0x3593773bce3574ed,"['Eye care center', 'Contact lenses supplier', 'Ophthalmologist', 'Optician', 'Optometrist']",4.7,44
0x809ada58b438ba75:0x80077c3b3f0e4fd3,"['Data recovery service', 'Forensic consultant']",4.7,28
0x809ac66a53cc44c1:0x2bbcdb504b2fcb8e,"['Gymnastics center', ""Children's party service""]",4.8,33
0x809ad1af6621b11b:0x9158613cda43ab23,['Community garden'],4.4,8
0x809ac50f923ac971:0xd7539bca839898da,['Community garden'],4.3,3
0x809ac5b67fcd9e8b:0x3f3313f0e2c8f266,['Fireworks store'],5.0,3
0x809ad019a2e1f84b:0xf4814514af02a68f,['Car wash'],4.6,8
0x809ac53d8fda62bf:0x1dcec87866bf2b91,['Parking lot'],5.0,2
0x809ac5256757004f:0x27b774cf5a184fb9,['Tobacco shop'],4.3,2
0x809ac5c07ebfdcab:0xc64fc36bd8d68405,"['Paint store', 'Hardware store']",4.7,18
0x809ac4d7f92d7ec3:0xa0c01b4003abcaff,['Roofing supply store'],4.7,8
0x809ad77f41e088f7:0x9e870d623cd0e132,['Child care agency'],4.7,15
0x809ad993cd15cc69:0x38291ec9a11f59ed,['Massage therapist'],4.2,56
0x809adee9ac6f1bd7:0xe2e56d16919b9b8d,['Massage therapist'],3.6,15
0x809ad7b6234f1ff9:0xe5622114044a3a90,['Door supplier'],4.0,4
0x809b2063472fb85b:0x7d6aad89aefc4aea,['Church'],5.0,8
0x8084d0c62e26baa9:0x8829fbf306ee0c41,['Church'],4.7,17
0x809ad965d1d35db7:0xcf8b3ebe7becc5fa,['Employment agency'],3.2,13
0x809add6b2d273da5:0x4610dea4cb4aa5df,"['Billiards supply store', 'Dart supply store', 'Furniture store', 'Game store', 'Sporting goods store']",4.1,18
0x809ad1d38e2dd6f7:0xe4732d7623f7121c,['Motor vehicle dealer'],5.0,6
0x809ad4111dd01501:0xf8adf3a057108e2a,"['Towing service', 'Auto wrecker', 'Automobile storage facility']",3.3,6
0x809ac5aa35e8604f:0x971ac2663dd1a3d,['Car wash'],5.0,1
0x809abdb2b9f3a021:0x3d5f97c6e37d0965,"['Garbage collection service', 'Debris removal service', 'Waste management service']",5.0,46
0x809ad73dbbfe5ef1:0x45f57e4e50d4c232,['Barber shop'],4.0,28
0x809ad0d1889604f9:0x76f7ce717427babc,"['Tile store', 'Antique store']",4.9,8
0x809ad68a4b531825:0x635fa3c8560daf3c,['Massage therapist'],3.7,18
0x809adbeb7a97a489:0x36ea91b3e64da623,['Massage therapist'],4.7,17
0x809ad993cbfd3b07:0x8957c68b56e2d414,"['Massage spa', 'Massage therapist']",3.7,17
0x809ad7721baae99d:0xc482ee341fe673ae,"['Computer consultant', 'Computer repair service', 'Website designer']",2.3,3
0x809ad7459ef81893:0xedabcb2f9a9ffbbf,['Fitness center'],4.4,25
0x809ad189f7da181d:0x537b40584215c3e1,['Comic book store'],5.0,2
0x809adb8067664215:0xfa0584596ad69a2f,['Park'],4.4,15
0x809ad1c1b22aa955:0xc050cb6092f1f92b,['Mortgage lender'],5.0,148
0x809ad6ed723b99d9:0x5a020e916d8d0ade,['Insurance agency'],4.4,14
0x809ad1f8e6c7cb27:0x8d317d9121d3ec92,['High school'],3.9,28
0x809ade1cffbf622d:0x128b50049b1fd6ee,"['Business center', 'Dentist']",5.0,1
0x809adcbe7d48ed7d:0x6f9b717013a79c15,['Beauty salon'],4.1,16
0x809adcb7344eb297:0xac0f88c8900a3903,"['Gas station', 'Auto repair shop', 'Convenience store', 'Diesel fuel supplier', 'Fuel pump', 'Gas company']",3.1,14
0x809ada5b3f8a76d5:0xb342fb5ac8aee594,['Doctor'],2.6,8
0x809ae7252e1dbe67:0xa855ebad97cc4e3f,['Church'],5.0,27
0x809ae410bb4b79db:0x8e53e91c4a62cfcd,['Restaurant'],4.2,16
0x809adaf5b700d787:0xa5c084d1d9215917,['Trial attorney'],5.0,3
0x809ae68e8b3585d1:0xe958510262e4a0af,['Real estate agency'],4.2,8
0x809ad12bc91cba1b:0x975c7d47643ef580,['Personal injury attorney'],4.3,68
0x809ac79398b92c1b:0x21fcbb3af744a93b,['Barber shop'],4.5,68
0x809ac5ed80765f9d:0xcbcfe7dbc6dcb6b8,"['Warehouse', 'Car wash']",4.3,6
0x80852bc75dbc659d:0x9fba809d832c62c0,['Apartment complex'],4.3,17
0x809ad914be6c5e8f:0xfad2f7d8e2757a7f,"['Social services organization', 'Mental health service', 'Non-profit organization']",3.9,25
0x809abb6d6d1209ff:0xb66f1d6dde35da2,['Tourist attraction'],4.5,2
0x8084d8fc52f44937:0x451d3fd9a5636a91,['Ranch'],5.0,1
0x809ad1c06c05f1d1:0xe896dbdf73769ab9,['Church'],4.9,14
0x809adb448f2c73a7:0x5289a6e6cba08aca,['Festival'],1.4,56
0x809ac56fbc38ec8f:0x12cc07cc23cfa59f,['Real estate'],5.0,1
0x809ad96d48b747a5:0x76dcdab000f2b3d1,"['Car dealer', 'Auto broker', 'Used motorcycle dealer', 'Used truck dealer']",4.3,38
0x809ac76ef512905b:0xdd97f6e6a33f85bf,"['Auto repair shop', 'Auto air conditioning service', 'Auto radiator repair service', 'Brake shop', 'Car battery store', 'Car repair and maintenance', 'Oil change service', 'Tire shop', 'Transmission shop', 'Truck repair shop']",3.4,8
0x809ad0fcb2b6d00f:0x240f88a69bf31711,['Coworking space'],4.2,8
0x809ada56b34eb8db:0x5e616e3c576edb84,"['Apartment complex', 'Apartment building', 'Apartment rental agency']",3.9,18
0x809add8435959b63:0xa56815b09627105a,"['Ice cream shop', 'Dessert shop', 'Frozen dessert supplier', 'Fruit parlor', 'Juice shop']",4.3,17
0x809ad3df6746f62f:0x65776f267ea7046,['Gym'],2.3,28
0x809ae4876b50fefb:0x79b73efb9af4710f,"['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Dental hygienist', 'Dental implants periodontist', 'Dental implants provider', 'Emergency dental service', 'Teeth whitening service']",4.3,14
0x809ae58e5b6f8889:0x997c522d3d5cf906,['Restaurant'],3.7,8
0x809ae6aa4ea4e0fd:0x8c2fe55027b1fa69,['Cemetery'],5.0,6
0x809ae3f3488cdb35:0xc3147ab2a31f1cea,['Prison'],4.3,4
0x809ae50606f444f5:0xc4569619330fcda4,"['Boutique', ""Women's clothing store""]",4.4,18
0x809ae6aa2aebafbb:0xc38f6e8b29090060,['Hair salon'],4.7,8
0x809ae40256316ed9:0xc7d8e555021333b2,['Bank'],5.0,3
0x809ae5778647cf31:0x2439f86b3797ead3,['Park'],5.0,2
0x809ac52e60ab97ad:0x457fe5f368761bb2,['Dental clinic'],3.5,4
0x809acf9537d441ff:0x6fe701e4fdd3999,['Auto glass shop'],4.2,13
0x808528726b39b98d:0xc3d549de5935e131,['Baptist church'],4.7,16
0x8084d0e67096b74b:0xcab6dc4af1a60b75,['Church'],4.5,8
0x8084df6e18699dd7:0x156c5d58dfdf1f0,['Sign shop'],4.5,4
0x809add627a83fdb1:0x46343a9e227139d5,['Hot tub repair service'],4.0,8
0x8084d08d18c4cbc7:0x51ab0249b0326161,"['Post office', 'Logistics service', 'Money order service', 'Shipping and mailing service']",2.4,9
0x80852bf165465689:0x62dc5e8d148d1307,['Ranch'],4.5,6
0x8084d0ee04199049:0xeb4aca1c55b64090,"['Loan agency', 'Auto insurance agency', 'Check cashing service', 'Money order service', 'Money transfer service', 'Tax preparation']",3.2,13
0x8085298de8e24cbb:0x7a6a088082a46706,['Association or organization'],4.3,4
0x808529cac9ef7013:0xc05cdddb4fde7a62,"['Swimming pool supply store', 'Swimming pool repair service']",3.8,18
0x808529726ba1ada7:0x9fd2787ac2016035,"['Liquor store', 'Convenience store', 'Grocery store']",5.0,5
0x809ac4decc7092f1:0x7dad90c9f29919cf,"['Transportation', 'Courier & shipping services', 'Logistics', 'Shipping service']",1.7000000000000002,15
0x809ade3065342aa3:0x6240f02a3a7e9d3d,"['Beauty salon', 'Hair salon']",4.9,33
0x809adfcd68dcc36b:0x603fa9a3c68fe348,['Methodist church'],4.1,7
0x809adfd232243965:0x4395b0fee768efa2,['Optometrist'],4.0,4
0x809ae46ad4e79375:0xa9f3a12d8cda9d6b,['Ophthalmologist'],3.3,13
0x809adcc70d6fa3e3:0x8237fa2183f86b56,['Flooring store'],4.1,8
0x809ae6a0e5ccf91f:0x17da752f99335830,['Association or organization'],5.0,2
0x809ad981aaaaaaab:0xaec53797999f5441,['Association or organization'],5.0,8
0x80852905d81778a1:0xeacfc09c80ee34a8,['University department'],4.5,4
0x80852905e68be3b7:0x62c6ae9ff73adef3,['University department'],4.5,2
0x80852908d0f6cfdd:0xce294662bb65b16,['University'],4.0,6
0x808529103835af4f:0xd954092cde7bd1c,['School'],5.0,1
0x8085290fe1af8f55:0xf4e9a18674415091,['University department'],4.4,5
0x808529119d994337:0xe9f4c4903034d107,['Environmental program'],5.0,4
0x80852990182f7d55:0xe7374fc8442789f1,"['Fast food restaurant', 'Hamburger restaurant', 'Restaurant']",3.0,7
0x8085290ec36bb461:0x5d3b53d507eeff82,['Coffee shop'],4.3,8
0x80852903058f1645:0x23304ec837207bc3,['ATM'],4.0,2
0x8085290f77055555:0x937f3622325eb37f,"['College', 'Martial arts school', 'Yoga studio']",4.5,2
0x8085290c346ab205:0x659f431d15737e7a,['University'],4.5,2
0x809ada88de8ebdf1:0xef46324f47b867b1,['Establishment'],4.0,1
0x809ad77c7fb024dd:0xf393a878573b30db,['Contractor'],3.9,3
0x809ac3ebb104972d:0x836ee4a6ba0c83a4,['Seventh-day Adventist church'],4.6,8
0x809ad090c0b9b401:0x4300d2c94496ed7a,['Massage therapist'],4.3,51
0x809ad0c3d4f00c11:0xa60e95f20298beb,['Optometrist'],1.0,1
0x809ade203b07fd39:0x87a987732a2254dd,['Apartment building'],2.5,37
0x809ac5c1da3acf1d:0x44911fc621801f93,['Doctor'],5.0,1
0x808514259c3310c7:0x7733e13cf92f1db4,['Frozen yogurt shop'],3.2,5
0x809acff7001d566b:0x8968f570205e04f2,"['Auto repair shop', 'Gas station']",4.3,8
0x809ad0fceb7481c7:0xea6d40cd8845b229,['Orthodontist'],4.9,88
0x809ad1c1b92fc9cf:0xc663b8eabd426fd9,['Scrapbooking store'],4.7,18
0x809ac5af74de9be5:0xc8329d6a1e7de29c,['Janitorial service'],2.0,1
0x8084d0db1462f17d:0x6315c3d9283389ad,"['Gym', 'Fitness center', 'Tanning salon', 'Womens personal trainer']",4.8,16
0x8084d0e5f234f735:0x782262f8c6962382,['Bar'],4.3,8
0x8084d103adaaa093:0x62529f4ebcfc336b,"['Physical fitness program', 'Fitness center', 'Gym']",4.9,8
0x8084d12981ede425:0x8e5e271049ee6825,['Watch repair service'],4.8,15
0x8084d0be7ecf65eb:0x5988dfa03576e4aa,['Doctor'],1.0,1
0x8084d08d17334517:0x91b217502a9a8986,['Beauty salon'],4.8,6
0x8084d18a54419be7:0xad313bb4833b41bd,['Hair salon'],4.5,8
0x8084d155d59bbe79:0xea9392e201d6ec6f,['Takeout Restaurant'],3.8,8
0x809ada545779c3cf:0x3593773bce3574ed,"['Eye care center', 'Contact lenses supplier', 'Ophthalmologist', 'Optician', 'Optometrist']",4.7,44
0x809ada58b438ba75:0x80077c3b3f0e4fd3,"['Data recovery service', 'Forensic consultant']",4.7,28
0x809ac66a53cc44c1:0x2bbcdb504b2fcb8e,"['Gymnastics center', ""Children's party service""]",4.8,33
0x809ad1af6621b11b:0x9158613cda43ab23,['Community garden'],4.4,8
0x809ac50f923ac971:0xd7539bca839898da,['Community garden'],4.3,3
0x809ac5b67fcd9e8b:0x3f3313f0e2c8f266,['Fireworks store'],5.0,3
0x809ad019a2e1f84b:0xf4814514af02a68f,['Car wash'],4.6,8
0x809ac53d8fda62bf:0x1dcec87866bf2b91,['Parking lot'],5.0,2
0x809ac5256757004f:0x27b774cf5a184fb9,['Tobacco shop'],4.3,2
0x809ac5c07ebfdcab:0xc64fc36bd8d68405,"['Paint store', 'Hardware store']",4.7,18
0x809ac4d7f92d7ec3:0xa0c01b4003abcaff,['Roofing supply store'],4.7,8
0x809ad77f41e088f7:0x9e870d623cd0e132,['Child care agency'],4.7,15
0x809ac739446ed911:0xcadce0055e134c5,['Apartment complex'],4.5,33
0x809ac60f0851ce41:0x57ec7ce35cfb6092,['Day care center'],5.0,1
0x809ade2407727363:0x6cb49bc8ac7e5da0,"['Bakery', 'Coffee store', 'Pastry shop']",2.8,8
0x809ae45b73998dbf:0x552d1d12862aa9e9,['Business center'],4.3,7
0x809ade6a736b2739:0x1de1a4eb663b6be5,['Appliance repair service'],4.6,16
0x80851452e5ddbd03:0xbc831f2231ea3b96,['Coffee roasters'],5.0,8
0x808529a758d366e7:0x3f8a54a7517cf833,['Asian grocery store'],4.9,8
0x809ad74f05c789b5:0xc27923eb8a9669b9,['Pizza Takeout'],4.9,18
0x809ad75d8abe9581:0x34ae3a729f5e725d,['Apartment complex'],3.6,27
0x809adb1edad782e9:0xce8c50254b9e3e4e,['Body piercing shop'],4.4,44
0x809add3c136ec10d:0xe4c8e6034eb0e7b5,"['Apartment building', 'Apartment rental agency', 'Property management company', 'Real estate rental agency']",2.6,46
0x809ad75ae4c32da9:0x655c675558bec8c3,"['Park', 'Tourist attraction']",3.3,18
0x809ad6a3ca41829f:0xb3d2ff0c1cd9854c,['Church'],4.3,8
0x809ae7f98fa38b83:0x6388ad603aeb55b7,['Tree service'],3.4,8
0x809ac73b489ff0f7:0x4132a5c57f24bc6e,['Apartment rental agency'],3.5,10
0x809adad4e6b3a2f9:0x783a43ebce376d8d,['Non-profit organization'],5.0,8
0x80852973bd7fdb17:0x37c0de1ef7e95670,['Restaurant'],5.0,3
0x809adf95c0b30527:0x5d8095d37be880fb,['Tax preparation service'],4.2,18
0x809ad0dbbbdf3c2d:0x278da309346d97ff,"['Psychic', 'Alternative medicine practitioner', 'Family counselor', 'Holistic medicine practitioner', 'Life coach', 'Meditation instructor', 'Metaphysical supply store', 'Psychologist', 'Retreat center', 'Wellness center']",2.6,7
0x809ac6223f533f09:0x1b91779bf852062b,"['HVAC contractor', 'Air conditioning contractor', 'Air conditioning repair service', 'Air duct cleaning service', 'Furnace repair service', 'Heating contractor', 'Heating equipment supplier']",4.7,28
0x809add60186e4d2b:0x1a0184137e687cef,['Car rental agency'],3.1,18
0x809ac5046810b61b:0xff3cc8908ca68c34,"['Metal fabricator', 'Truck accessories store', 'Tuning automobile', 'Welder']",5.0,28
0x809ad1cfaaaaaaab:0x650920491045bb98,['Upholstery shop'],4.9,8
0x809ae80326db9747:0x86d2488ab743ef77,"['Used auto parts store', 'Auto body parts supplier', 'Auto parts store']",4.7,56
0x809ac7acf8bce011:0x5dc8e998cf3e740c,['Aged care'],5.0,2
0x809ad0dbb8dbe36b:0xee2e589fd5db0885,['Public parking space'],1.0,1
0x809ad0d7e6e497ad:0x89eee03d11af61bf,['Parking lot'],3.0,2
0x809ad974dfe23fa1:0x860240c76c7a8083,"['Loan agency', 'Financial institution']",3.3,38
0x809ad794cb08988b:0xf26331dc35857cf,"['Paralegal services provider', 'Divorce service', 'Estate planning attorney', 'Legal services', 'Process server']",4.9,56
0x809add8f1741aa0d:0xbb70ffb6b0c8a50b,"['Painting', 'Dry wall contractor', 'Dry wall supply store']",5.0,8
0x809b2048021f18ad:0x637b3ce76251658f,"['Tack shop', 'Entertainment']",5.0,2
0x808529060add66f3:0x7ebbb6f7de442e93,['Training centre'],2.3,3
0x809adaf889ade5d9:0x1105f6382935d2d0,['Doctor'],5.0,3
0x809ad0e6592949cb:0xe5a6ea112ad6c280,"['Attorney', 'Bankruptcy attorney', 'General practice attorney', 'Trial attorney']",3.0,4
0x8084d0e443fad49f:0xc6565b1b30f65b5a,"['Pet groomer', 'Boutique', 'Pet store', 'Pet supply store']",4.9,84
0x809add6bd696cda5:0x48bc29e9d1d11d37,['College'],2.1,7
0x8084d059d27c8d5d:0xe6efee108526a087,"['Auto repair shop', 'Auto air conditioning service', 'Brake shop', 'Transmission shop']",4.4,18
0x809ad6a5750a687b:0xbf98cad4909d6322,['Mobile home park'],4.3,45
0x8085297371e13385:0x6d8b1aaf7934bfa0,"['Beauty salon', 'Facial spa', 'Hair salon']",4.6,16
0x809ac0ad82ea42b1:0xb915efb1fdee22d2,"['Shipping and mailing service', 'Business center', 'Freight forwarding service', 'Mailbox rental service', 'Notary public', 'Office supply store', 'Packaging supply store', 'Print shop', 'Shredding service']",3.5,34
0x809ad98c9f146e43:0x65422def82ca1,['Landscaper'],5.0,1
0x809ac752521dd4b7:0xed6203e6786bc36d,"['Pressure washing service', 'Gutter cleaning service']",4.9,68
0x809ac59eac9485d5:0x340dac8739afd81f,['Auto auction'],4.0,2
0x809ad079e2d9a981:0xb83c5702c2d9a9b5,"['Transportation service', 'Car rental agency']",3.5,6
0x8084df8b7bbe0ec3:0x433b317cd9789a7c,['Art gallery'],4.5,4
0x8085299088910297:0x5ad99f0df0aeb88a,['Beauty salon'],4.2,8
0x8084dff29c86d88f:0xc18a4611be7453c9,"['Public swimming pool', 'Swimming']",4.4,18
0x809ae40686b4b011:0xf83c65103c1f515d,"['Baseball field', 'Baseball']",4.3,4
0x809ad46e6b5ef5e1:0x651f24fdd679d337,"['Engineer', 'Engineering consultant']",4.4,7
0x8084de52bfa0e547:0x197b84be4ee16226,['Excavating contractor'],5.0,1
0x809ada248205b417:0xbc6911a8923d553e,['Apartment complex'],3.5,8
0x8084dff4ae15c2e3:0x26eca98c2a8f9daf,['Dry cleaner'],5.0,2
0x8084df990c34b80d:0xb1b8bfe57e8a3cb6,['Landscape designer'],5.0,1
0x809adaff6d92f6f5:0x2f6b5061ce7fdf70,['Apartment building'],3.0,26
0x809ad0f1bff0fcab:0x577ac879f403d861,['Dentist'],5.0,34
